City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,kepno,51.2784,17.9891,2.11,75,100,4.02,PL,1706556729
349,puerto santa,-8.9906,-78.6456,25.77,76,100,5.01,PE,1706556729
350,bathurst,-33.4166,149.5806,20.54,88,7,0.89,AU,1706556729
351,gizo,-8.103,156.8419,26.86,83,100,5.76,SB,1706556730
352,east london,-33.0153,27.9116,27.05,76,100,6.72,ZA,1706556457
353,bereznik,62.8551,42.7072,1.13,89,100,4.7,RU,1706556730
354,marsa alam,25.0757,34.8918,18.18,40,0,4.51,EG,1706556730
355,lubang,13.8584,120.124,24.96,75,99,13.22,PH,1706556730
356,xiva,41.3783,60.3639,-0.01,78,100,5.72,UZ,1706556730
357,roccella ionica,38.322,16.4009,9.27,64,8,2.19,IT,1706556730
358,yigo village,13.5361,144.8886,24.3,76,20,8.23,GU,1706556730
